Item,Scientific Name
Mardarrgu,Ziziphus quadrilocularis
Marula,Sclerocarya birrea
Mexican plum,Prunus mexicana
Millaa millaa,Elaeagnus triflora
Miracle fruit,Synsepalum dulcificum
Mistol,Ziziphus mistol
Miyama cherry,Prunus maximowiczii
Moriche palm fruit,Mauritia flexuosa
Muntrie,Kunzea pomifera
Murray's plum,Prunus murrayana
Nance,Byrsonima crassifolia
Nanjing cherry,Prunus tomentosa
Nannyberry,Viburnum lentago
Nectarine,Prunus persica var. nucipersica
Neem,Azadirachta indica
Nepali hog plum,Choerospondias axillaris
Nipa palm fruit,Nypa fruticans
Nutmeg fruit,Myristica fragrans
Oklahoma plum,Prunus gracilis
Olosapo,Couepia polyandra
Oshima cherry,Prunus speciosa
Otaheite gooseberry,Phyllanthus acidus
Pacific plum,Prunus subcordata
Paho mango,Mangifera altissima
Paperbark satinash fruit,Syzygium papyraceum
Partridgeberry,Mitchella repens
Peach,Prunus persica
Peach palm fruit,Bactris gasipaes
Peanut butter fruit,Bunchosia glandulifera
Pequi,Caryocar brasiliense
Phalsa,Grewia asiatica
Pigeon plum,Coccoloba diversifolia
Pili,Canarium ovatum
Pin cherry,Prunus pensylvanica
Pink satinash fruit,Syzygium sayeri
Pitanga,Eugenia uniflora
Pitomba,Talisia esculenta
Prunus alaica,Prunus alaica
Prunus bifrons,Prunus bifrons
Prunus cortapico,Prunus cortapico
Pulasan,Nephelium ramboutan-ake
Queen palm fruit,Syagrus romanzoffiana
Rambutan,Nephelium lappaceum
Red bush apple,Syzygium suborbiculare
Rex satinash fruit,Syzygium apodophyllum
Riberry,Syzygium luehmannii
River cherry,Syzygium tierneyanum
Russian olive,Elaeagnus angustifolia
Sabal palm fruit,Sabal palmetto
Sageretia,Sageretia theezans
Sand cherry,Prunus pumila
Sansapote,Licania platypus
Sargent's cherry,Prunus sargentii
Savannah cherry,Eugenia calycina
Saw palmetto fruit,Serenoa repens
Sea apple,Syzygium grande
Sea coconut,Lodoicea maldivica
Sea grape,Coccoloba uvifera
Shoebutton ardisia,Ardisia elliptica
Short-stemmed plum,Prunus brachypetala
Siberian apricot,Prunus sibirica
Silver almond,Prunus argentea
Silver buffaloberry,Shepherdia argentea
Silver date palm fruit,Phoenix sylvestris
Silver peanut butter fruit,Bunchosia argentea
Silverberry,Elaeagnus commutata
Sloe,Prunus spinosa
Smooth stone peach,Prunus mira
Soh-sang,Elaeagnus latifolia
Sour cherry,Prunus cerasus
Sour cherry,Syzygium corynanthum
Sourplum,Ximenia afra
Spanish cherry,Mimusops elengi
Spanish lime,Melicoccus bijugatus
Staghorn sumac,Rhus typhina
Swamp maire,Syzygium maire
Syzygium alternifolium,Syzygium alternifolium
Syzygium calophyllifolium,Syzygium calophyllifolium
Syzygium calubcob,Syzygium calubcob
Syzygium cordatilimbum,Syzygium cordatilimbum
Syzygium crassipes,Syzygium crassipes
Syzygium eucalyptoides,Syzygium eucalyptoides
Syzygium gilletii,Syzygium gilletii
Syzygium incarnatum,Syzygium incarnatum
Syzygium mananquil,Syzygium mananquil
Syzygium masukuense,Syzygium masukuense
Syzygium micklethwaitii,Syzygium micklethwaitii
Syzygium multipetalum,Syzygium multipetalum
Syzygium nervosum,Syzygium nervosum
Syzygium owariense,Syzygium owariense
Syzygium scortechinii,Syzygium scortechinii
Syzygium simile,Syzygium simile
Syzygium xanthophyllum,Syzygium xanthophyllum
Taiwan cherry,Prunus campanulata
Tamarind-plum,Dialium indum
Tangut Almond,Prunus tangutica
Tapia,Uapaca bojeri
Texas almond,Prunus minutiflora
Texas peach,Prunus texana
Tianshan cherry,Prunus tianshanica
Velvet tamarind,Dialium cochinchinense
Viagra palm fruit,Calamus erectus
Water apple,Syzygium jambos
Water berry,Syzygium cordatum
Water pear,Syzygium guineense
Watery rose apple,Syzygium aqueum
Wax apple,Syzygium samarangense
White apple,Syzygium forte
White aspen berry,Acronychia oblongifolia
White satinash fruit,Syzygium puberulum
Wild cherry,Prunus avium
Wild Himalayan cherry,Prunus cerasoides
Wild jujube,Ziziphus lotus
Wild peach,Terminalia carpentariae
Willow leaf cherry,Prunus incana
Winter-flowering cherry,Prunus × subhirtella
Wongi,Manilkara kauki
Wooly jelly palm fruit,Butia eriospatha
Xiao putao,Syzygium acuminatissimum
Yangmei,Myrica rubra
Yatay palm fruit,Butia yatay
Yellow mombin,Spondias mombin
Yellow plum,Ximenia americana
Yoshino cherry,Prunus × yedoensis
Ziziphus budhensis,Ziziphus budhensis
Ziziphus incurva,Ziziphus incurva
Zunna berry,Ziziphus rugosa
Zwetschge,Prunus domestica subsp. domestica
Abiu,Pouteria caimito
Aboirana,Pouteria venosa
American black elderberry,Sambucus canadensis
American persimmon,Diospyros virginiana
American red elderberry,Sambucus pubens
Apple berry,Billardiera scandens
Arabian coffee,Coffea arabica
Araza,Eugenia stipitata
Babaco,Vasconcellea × heilbornii
Banana,Musa acuminata
Banana passionfruit,Passiflora tarminiana
Barberry,Berberis vulgaris
Bearberry,Arctostaphylos uva-ursi
Bell apple,Passiflora nitida
Bengal currant,Carissa carandas
Bilberry,Vaccinium myrtillus
Bilberry cactus fruit,Myrtillocactus geometrizans
Bilimbi,Averrhoa bilimbi
Black currant,Ribes nigrum
Black sapote,Diospyros nigra
Blue passionfruit,Passiflora caerulea
Blue sweet calabash,Passiflora morifolia
Blueberry,Vaccinium corymbosum
Bola verde,Anisocapparis speciosa
Bolivian fuchsia fruit,Fuchsia boliviana
Bolwarra,Eupomatia laurina
Bombona,Solanum pachyandrum
Borojó,Alibertia patinoi
Brazil cherry,Eugenia brasiliensis
Brazilian guava,Psidium guineense
Burahol,Stelechocarpus burahol
Bushveld bluebush,Diospyros lycioides
Cactus pineapple,Selenicereus setaceus
Cainito,Chrysophyllum cainito
Calabur fruit,Muntingia calabura
Cambuci,Campomanesia phaea
Camu camu,Myrciaria dubia
Canistel,Pouteria campechiana
Cape gooseberry,Physalis peruviana
