"Kenikir, Ulam Raja",Coriandrum sativum,
Sea kale,Cosmos caudatus,
Redflower ragleaf,Crambe maritima,
Phak tiu som or Phak tiu daeng,Crassocephalum crepidioides,
Samphire,Cratoxylum formosum,
Chipilín,Crithmum maritimum,
Mitsuba,Crotalaria longirostrata,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,Cryptotaenia japonica
,Caigua,Cucumis prophetarum
,Cardoon,Cyclanthera pedata
,Vegetable fern,Cynara cardunculus
,Perennial Wall-rocket,Diplazium esculentum
,Thong lang,Diplotaxis tenuifolia
,"Arugula, Rocket",Erythrina fusca
,Lesser jack,Eruca sativa
,"Bhandhanya, Culantro",Emex spinosa
,Fennel,Eryngium foetidum
,Scarlina,Foeniculum vulgare
,Gallant Soldier,Galactites tomentosa
,Ground Ivy,Galinsoga parviflora
,Lotus sweet juice,Glechoma hederacea
,Melinjo,Glinus lotoides
,Okinawan spinach,Gnetum gnemon
,Sea purslane,Gynura crepidioides
,Roselle,Halimione portulacoides
,Shortpod mustard,Hibiscus sabdariffa
,Sea sandwort,Hirschfeldia incana
,Fishwort,Honckenya peploides
,John's Cabbage,Houttuynia cordata
,Shawnee Salad,Hydrophyllum canadense
,,Hydrophyllum virginianum
,Spotted Cat's-ear,Hyoseris radiata
,Catsear,Hypochaeris maculata
,Golden samphire,Hypochaeris radicata
,Elecampane,Inula crithmoides
,Water Spinach,Inula helenium
,Sweet Potato,Ipomoea aquatica Forssk.
,,Ipomoea batatas var. batatas
,Lablab,Kleinhovia hospita
,Indian Lettuce,Lablab purpureus
,,Lactuca indica
,Lettuce,Lactuca perennis
,Celtuce,Lactuca sativa
,Prickly Lettuce,Lactuca sativa
,Bottle Gourd,Lactuca serriola
,Dragon's head,Lagenaria siceraria
,White deadnettle,Lallemantia iberica
,Henbit deadnettle,Lamium album
,Red deadnettle,Lamium amplexicaule
,Nipplewort,Lamium purpureum
,Kuḷḷafila,Lapsana communis
,Bush Banana,Launaea sarmentosa
,Hawkbit,Leichhardtia australis
,,Leontodon hispidus
,Field pepperweed,Leontodon tuberosus
,Dittander,Lepidium campestre
,Maca,Lepidium latifolium
,Garden cress,Lepidium meyenii
,Virginia pepperweed,Lepidium sativum
,Phak kratin,Lepidium virginicum
,Lovage,Leucaena leucocephala
,Genjer,Levisticum officinale
,"Rice paddy herb, Ngò om",Limnocharis flava
,,Limnophila aromatica
,Gooseneck Loosestrife,Limnophila indica
,,Lysimachia clethroides
,Cheeseweed,Malva neglecta
,Mallow,Malva parviflora
,Musk Mallow,Malva sylvestris
,,Malva moschata
,Cassava,Malva verticillata var. crispa
,Semanggi,Manihot esculenta subsp. esculenta
,"Kogomi, fiddleheads",Marsilea crenata
,多蕊高河菜 duo rui gao he cai,Matteuccia struthiopteris
,Japanese mint,Megacarpaea polyandra
,Habek mint,Mentha arvensis piperascens
,Sea bluebell,Mentha longifolia
,Ice plant,Mertensia maritima
,Seep monkey flower,Mesembryanthemum crystallinum
,Mauka,Mimulus guttatus
,Noni tree,Mirabilis expansa
,Drumstick tree,Morinda citrifolia
,South-west African moringa,Moringa oleifera
,Ethiopian moringa,Moringa ovalifolia
,Wall lettuce,Moringa stenopetala
,Ujuju,Mycelis muralis
,Parrot feather,Myrianthus arboreus
,Cicely,Myriophyllum brasiliense
,Watercress,Myrrhis odorata
,Phak chet,Nasturtium officinale
,Fragrant Water Lily,Neptunia oleracea Loureiro
,Water Snowflake,Nymphaea odorata
,Yellow floating heart,Nymphoides indica
,Sweet Basil,Nymphoides peltata
,Thai basil,Ocimum basilicum
,Lemon basil,O. basilicum var. thyrsiflora
,Water Celery,Ocimum × citriodorum
,Common evening primrose,Oenanthe javanica
,Hooker's Evening-primrose,Oenothera biennis
,Sensitive fern,Oenothera hookeri
,Pheka,Onoclea sensibilis
,Rice,Oroxylum indicum
,,Oryza sativa
,Cinnamon fern,Osmorhiza aristata
,Interrupted fern,Osmunda cinnamomea
,Common wood sorrel,Osmunda claytoniana
,Creeping woodsorrel,Oxalis acetosella
,Iron Cross,Oxalis corniculata
,Redwood sorrel,Oxalis deppei
,Common yellow woodsorrel,Oxalis oregana
,Oca,Oxalis stricta
,,Oxalis tuberosa
,Mountain sorrel,Oxalis violacea
,Money tree,Oxyria digyna
,,Pachira aquatica
,,Pachira insignis
,,Paederia foetida
,Petai,Parkia biglandulosa
,Blue Palo Verde,Parkia speciosa
,Parsnip,Parkinsonia florida
,Golden lace,Pastinaca sativa subsp. sativa
,,Patrinia scabiosifolia
,Empress tree,Patrinia villosa
,Burra Gookeroo,Paulownia tomentosa
,Clearweed,Pedalium murex
,Barbados Gooseberry,Peperomia pellucida
,,Pereskia aculeata
,Perilla,Pergularia daemia
,Water pepper,Perilla frutescens
,,Persicaria hydropiper
,Arctic butterbur,Persicaria vulgaris
,Parsley,Petasites frigidus
,,Petroselinum crispum
,Runner Bean,Peucedanum ostruthium
,Lima Bean,Phaseolus coccineus
,Bean,Phaseolus lunatus
,Common Reed,Phaseolus vulgaris
,Rough fogfruit,Phragmites australis
,Star Gooseberry,Phyla scaberrima
,Myrobalan,Phyllanthus acidus
,Round-headed rampion,Phyllanthus emblica
,Indian Pokeberry,Phyteuma orbiculare
,,Phytolacca acinosa
,American Pokeweed,Phytolacca acinosa var. esculenta
,Bella Sombra,Phytolacca americana
,Deer calalu,Phytolacca dioica
,Pohpohan,Phytolacca rivinoides
,Aniseed,Pilea melastomoides
,Burnet Saxifrage,Pimpinella anisum
,Japanese Red Pine,Pimpinella saxifraga
,Mexican pepperleaf,Pinus densiflora
,West African pepper,Piper auritum
,Cha-phlu,Piper guineense
,Queensland grass-cloth plant,Piper sarmentosum
,Tree lettuce,Pipturus argenteus
,Chinese Pistache,Pisonia grandis
,Terebinth,Pistacia chinensis
,Water Lettuce,Pistacia terebinthus
,Garden pea,Pistia stratiotes
,Buckshorn plantain,Pisum sativum
,Long-leaved plantain,Plantago coronopus
,Broad-leaved Plantain,Plantago lanceolata
,,Plantago major
,,Plantago maritima
,Himalayan mayapple,Pluchea indica
,,Podophyllum hexandrum
,Knotweed,Poliomintha incana
,Bistort,Polygonum aviculare
,American Bistort,Polygonum bistorta
,,Polygonum bistortoides
,Alpine bistort,Polygonum punctatum
,,Polygonum viviparum
,Trifoliate orange,Polyscias fruticosa
,,Poncirus trifoliata
,Common purslane,Pontederia cordata
,,Portulaca oleracea
,Elephant Bush,Portulaca pilosa
,Cowslip,Portulacaria afra
,Primrose,Primula veris
,Kerguelen cabbage,Primula vulgaris
,,Pringlea antiscorbutica
,,Prosopis spicegera
,Prairie turnip,Prunella vulgaris
,,Pediomelum esculentum
,,syn. Psoralea esculenta
,,Pteris ensiformis
,,Ptychosperma elegans
,Lungwort,Pulicaria odora
,,Pulmonaria officinalis
,,Puya caerulea
,Birch-Leaved Pear,Puya chilensis
,Lesser celandine,Pyrus betulaefolia
,Wild radish,Ranunculus ficaria
,,Raphanus raphanistrum
,,Raphanus raphanistrum ssp. landra
,Radish,Raphanus raphanistrum ssp. maritimus
,Chinese radish,Raphanus sativus
,Raffia palm,Raphanus sativus var. longipinnatus
,French Scorzonera,Raphia hookeri
,,Reichardia picroides
,,Rhamnus dahurica
,,Rheum rhabarbarum
,Meadow beauty,Rheum tataricum
,Roseroot,Rhexia virginica
,,Rhodiola rosea
,Nikau,Rhododendron arboreum
,,Rhopalostylis sapida
,,Ribes cereum
,Blackcurrant,Ribes divaricatum
,,Ribes nigrum
,,Ribes odoratum
,,Rorippa indica
,Seven Sisters Rose,Rorippa islandica
,,Rosa multiflora
,,Roystonea elata
,,Roystonea oleracea
,Sorrel,Rubus rosaefolius
,Glasswort,Rumex acetosa
,Weeping Willow,Salicornia europaea
,,Salix babylonica
